text,label,lang,source,link,cleaned_text,processed_text
in kursk ukies abandoned by zelensky complain about russian helicopters terrorizing them at every turn what did you expect to happen on a field trip inside of russia who has hundreds of helicopters,фейк,eng,X.com,https://x.com/DanielT46912705/status/1836125424570470652,in kursk ukies abandoned by zelensky complain about russian helicopters terrorizing them at every turn what did you expect to happen on a field trip inside of russia who has hundreds of helicopters,kursk ukies abandoned zelensky complain russian helicopters terrorizing every turn expect happen field trip inside russia hundreds helicopters
insane new satellite pics the highvalue target of toropets ammo depot in tver was completely razed,правда,eng,X.com,https://x.com/PatriaeFilius/status/1836897796579889617,insane new satellite pics the highvalue target of toropets ammo depot in tver was completely razed,insane new satellite pics highvalue target toropets ammo depot tver completely razed
ukraine destroyer zelensky the bastard zionist child the robber of the peoplethe western beggar the comic who needs to give deep tonsil massage in gulags for life which he enjoys as a member of the rainbow community,фейк,eng,X.com,https://x.com/ZOVKid/status/1836120829559509175,ukraine destroyer zelensky the bastard zionist child the robber of the peoplethe western beggar the comic who needs to give deep tonsil massage in gulags for life which he enjoys as a member of the rainbow community,ukraine destroyer zelensky bastard zionist child robber peoplethe western beggar comic needs give deep tonsil massage gulags life enjoys member rainbow community
in kostiantynopil ukies thought they had a great place to put their ammunition they did not,фейк,eng,X.com,https://x.com/DanielT46912705/status/1838165695638413439,in kostiantynopil ukies thought they had a great place to put their ammunition they did not,kostiantynopil ukies thought great place put ammunition
the kremlin has removed sailors from the abandoned admiral kuznetsov aircraft carrier and sent them to fight in ukraine the ship is unlikely to ever return to sea according to forbes,правда,eng,X.com,https://x.com/MidnightVision5/status/1838149007455220027,the kremlin has removed sailors from the abandoned admiral kuznetsov aircraft carrier and sent them to fight in ukraine the ship is unlikely to ever return to sea according to forbes,kremlin removed sailors abandoned admiral kuznetsov aircraft carrier sent fight ukraine ship unlikely ever return sea according forbes
ukraine ukrainerussiawar,фейк,eng,X.com,https://x.com/TheMemeCollect8/status/1837748665739547058,ukraine ukrainerussiawar,ukraine ukrainerussiawar
ukraine has broken through in another area of kursk russia according to footage released from the 95th russian telegrams claim it is in the town of medvezhe,правда,eng,X.com,https://x.com/osintpeace/status/1838165211489988771,ukraine has broken through in another area of kursk russia according to footage released from the th russian telegrams claim it is in the town of medvezhe,ukraine broken another area kursk russia according footage released th russian telegrams claim town medvezhe
there is a shit load of destroyed russian equip so its going to take awhile to post them all 1 btr82at btr82a w a barbecue in the pokrovsky district donetsk oblast ukraine taken from vk and 1 t72b3m tank mod 2022 z w a barbecue somewhere on the front,правда,eng,X.com,https://x.com/midobecker_1/status/1837606723068071960,there is a shit load of destroyed russian equip so its going to take awhile to post them all btrat btra w a barbecue in the pokrovsky district donetsk oblast ukraine taken from vk and tbm tank mod z w a barbecue somewhere on the front,shit load destroyed russian equip going take awhile post btrat btra w barbecue pokrovsky district donetsk oblast ukraine taken vk tbm tank mod z w barbecue somewhere front
the incident with the saab jas39 gripen fighter jet of the hungarian air force occurred during a demonstration flight at an air show presumably the jet engine of the fighter jet surged ukraine ukrainewar ukrainerussiawar kursk,фейк,eng,X.com,https://x.com/worldupdates245/status/1836813992981061740,the incident with the saab jas gripen fighter jet of the hungarian air force occurred during a demonstration flight at an air show presumably the jet engine of the fighter jet surged ukraine ukrainewar ukrainerussiawar kursk,incident saab jas gripen fighter jet hungarian air force occurred demonstration flight air show presumably jet engine fighter jet surged ukraine ukrainewar ukrainerussiawar kursk
more russian action 1 ukraine attacks another munitions dump in the tikhoretsk district of the krasnodar region 2 list of russian losses to date ukrainerussiawar ukrainerussianwar russiaukrainewar russia ukrainewarnews,правда,eng,X.com,https://x.com/MidnightVision5/status/1837417376146772200,more russian action ukraine attacks another munitions dump in the tikhoretsk district of the krasnodar region list of russian losses to date ukrainerussiawar ukrainerussianwar russiaukrainewar russia ukrainewarnews,russian action ukraine attacks another munitions dump tikhoretsk district krasnodar region list russian losses date ukrainerussiawar ukrainerussianwar russiaukrainewar russia ukrainewarnews
anastasia elsukova the zpropagandist from the tg channel readovka has reportedly been captured in kursk lyubimivka ukraine russia kursk war russiaukrainewar readovka,фейк,eng,X.com,https://x.com/EchoMonitor360/status/1837244258593669415,anastasia elsukova the zpropagandist from the tg channel readovka has reportedly been captured in kursk lyubimivka ukraine russia kursk war russiaukrainewar readovka,anastasia elsukova zpropagandist tg channel readovka reportedly captured kursk lyubimivka ukraine russia kursk war russiaukrainewar readovka
eilmeldung boxweltmeister oleksandr usyk wurde am flughafen krakau polen verhaftet details sind unklar russian ukraine championsleague katseye poland boxing usykaa,правда,eng,X.com,https://x.com/deniz_karabag_/status/1836149777979126268,eilmeldung boxweltmeister oleksandr usyk wurde am flughafen krakau polen verhaftet details sind unklar russian ukraine championsleague katseye poland boxing usykaa,eilmeldung boxweltmeister oleksandr usyk wurde flughafen krakau polen verhaftet details sind unklar russian ukraine championsleague katseye poland boxing usykaa
russia on saturday 0920 around 4 am ukrainian drones attacked a weapons depot near tikhoretsk in krasnodar oblast approximately 452km north of the ukraine border witnesses speak of massive explosions according to the local governor veniamin kondratiev12,фейк,eng,X.com,https://x.com/nanana365media/status/1837444587926741164,russia on saturday around am ukrainian drones attacked a weapons depot near tikhoretsk in krasnodar oblast approximately km north of the ukraine border witnesses speak of massive explosions according to the local governor veniamin kondratiev,russia saturday around ukrainian drones attacked weapons depot near tikhoretsk krasnodar oblast approximately km north ukraine border witnesses speak massive explosions according local governor veniamin kondratiev
zelensky to unveil victory plan in meeting with biden harris trump read full news ukraine zelensky victoryplan ussupport russia militaryaid diplomacy biden trump harris unga dxbnewsnetwork dxbnews dxbdnn,правда,eng,X.com,https://x.com/dxbnewsnetwork/status/1838188184435359895,zelensky to unveil victory plan in meeting with biden harris trump read full news ukraine zelensky victoryplan ussupport russia militaryaid diplomacy biden trump harris unga dxbnewsnetwork dxbnews dxbdnn,zelensky unveil victory plan meeting biden harris trump read full news ukraine zelensky victoryplan ussupport russia militaryaid diplomacy biden trump harris unga dxbnewsnetwork dxbnews dxbdnn
вооруженные силы украины всу атаковали школу в городе каменкаднепровская запорожской области с помощью беспилотника об этом сообщил глава региона евгений балицкий в своем telegramканале вражеский беспилотник атаковал общеобразовательную школу в каменкеднепровской очередная циничная атака террористов для которых нет ничего святого написал чиновник,фейк,rus,News,https://lenta.ru/news/2024/09/20/gubernator-zaporozhskoy-oblasti-rasskazal-ob-atake-vsu-na-shkolu/,telegram,telegram
инвалида детства с дцп признали годным к службе в вооруженных силах украины всу об этом рассказал депутат верховной рады алексей гончаренко внесен в перечень террористов и экстремистов росфинмониторинга в telegram,фейк,rus,News,https://lenta.ru/news/2024/09/18/na-ukraine-invalida-s-dtsp-priznali-godnym-k-sluzhbe-v-vsu/,telegram,telegram
вооруженные силы россии нанесли серию авиаударов по позициям вооруженных сил украины всу в херсонской области кадры ударов показало министерство обороны россии в своем telegramканале,фейк,rus,News,https://lenta.ru/news/2024/09/18/minoborony-pokazalo-kadry-aviaudarov-po-pozitsiyam-vsu-v-hersonskoy-oblasti/,telegram,telegram
российские военные в районе северска уничтожили пункт временной дислокации пвд штурмовой бригады вооруженных сил украины всу об этом сообщил подполковник народной милиции луганской народной республики нм лнр в отставке андрей марочко в своем telegramканале,фейк,rus,News,https://lenta.ru/news/2024/09/19/v-lnr-soobschili-ob-unichtozhenii-vs-rossii-punkta-vremennoy-dislokatsii-vsu-pod-severskom/,telegram,telegram
пять мирных жителей получили ранения в результате атак вооруженных сил украины всу по донецкой народной республике днр совершенных в четверг 19 сентября об этом рассказал глава днр денис пушилин в своем telegramканале,фейк,rus,News,https://lenta.ru/news/2024/09/19/glava-dnr-nazval-chislo-postradavshih-pri-obstrelah-vsu/,telegram,telegram
хакери aklirog зламали базу даних свідків фбр,фейк,ukr,Telegram,https://suspilne.media/578767-hakeri-zlamali-rosijsku-bazu-danih-z-danimi-pro-ponad-664-mln-aviaperelotiv/,aklirog,aklirog
на западе признали что слишком рано разрешили украинцам летать на f16,фейк,rus,Telegram,https://t.me/bloknot_rossiya/73675,f,f
putin dla powodzian jestemy gotowi wysa do polski wyspecjalizowane brygady straackie z kaliningradu w celu zniwelowania skutkw powodzi u naszych polskich partnerw,фейк,pol,Pravda,Czy W?adimir Putin zadeklarowa? ch?? pomocy polskim powodzianom? (pravda.org.pl),putin dla powodzian jestemy gotowi wysa do polski wyspecjalizowane brygady straackie z kaliningradu w celu zniwelowania skutkw powodzi u naszych polskich partnerw,putin dla powodzian jestemy gotowi wysa polski wyspecjalizowane brygady straackie z kaliningradu w celu zniwelowania skutkw powodzi u naszych polskich partnerw
у сша представлений безпілотний морський апарат swift sea stalker s3,правда,ukr,Telegram,https://t.me/c/1660226324/21133?single,swift sea stalker s,swift sea stalker
ukraine could become a mpox vector for the whole of europe ukraines health care system is overloaded with wounded military personnel and is unprepared for a new global challenge,фейк,eng,Telegram,https://gwaramedia.com/feyk-the-independent-ukraina-mozhe-staty-oseredkom-poshyrennia-mpox/,ukraine could become a mpox vector for the whole of europe ukraines health care system is overloaded with wounded military personnel and is unprepared for a new global challenge,ukraine could become mpox vector whole europe ukraines health care system overloaded wounded military personnel unprepared new global challenge
компанія starlink підєднала україну до безплатного інтернету,фейк,ukr,Telegram,https://gwaramedia.com/feyk-starlink-pidkliuchyla-ukrainu-do-bezkoshtovnoho-internetu/,starlink,starlink
за словами умєрова якщо у 2023 році українська частка боєприпасів становила 18 то у 2024 році зросла до 41 станом на сьогодні кожен другий боєприпас на фронті українського виробництвапро це міністр оборони україни рустем умєров розповів у своїй колонці для forbes ukraine,правда,ukr,Google,https://tsn.ua/ukrayina/skilki-boyepripasiv-na-fronti-ukrayinskogo-virobnictva-v-minoboroni-vidpovili-2665623.html,forbes ukraine,forbes ukraine
мільйон загиблих і поранених wsj передрік демографічну катастрофу в україні та рф,правда,ukr,,https://arc.net/l/quote/xcpdmynj,wsj,wsj
росіяни перебувають в оточенні в кремяному на курщині deepstate поділився подробицями,правда,ukr,,https://www.unian.ua/war/kurska-oblast-armiya-rf-pevniy-chas-perebuvaye-v-otochenni-v-krem-yanomu-12759588.html,deepstate,deepstate
після прильоту іскандеру у полтаві зявилося багато поранених іноземних шведських інструкторів і взялися за дітей у лікарні примусово приводять цілі групи школярів яким немає навіть 18 отже вони не можуть бути донорами крові лікарі обурюються тому що їм доводиться відкачувати непритомних дітей тобто шмаркля використовує дитячу кров для лікування шведських найманців допис з telegramканалу,фейк,ukr,телеграм,https://archive.is/dZNsM,telegram,telegram
хакеры нанесли мощнейший удар по системе безопасности сша фбр подтвердило кражу базы данных лиц находящихся под программой защиты свидетелей ответственность за взлом взяли на себя хакеры из группы aklirog они предлагают купить базу из 200 тысяч имён и адресов ценных свидетелей за 50 млн долларов сделать это может кто хочет даже само фбр,фейк,rus,телеграм,https://archive.ph/AJJ35,aklirog,aklirog
breaking report harris campaign busted using fake crowd photo at campaign rally stop,фейк,eng,Х,https://x.com/ChuckCallesto/status/1822344031537426861,breaking report harris campaign busted using fake crowd photo at campaign rally stop,breaking report harris campaign busted using fake crowd photo campaign rally stop
правохоронці відкрили кримінальну справу проти військового гнезділова за статтею про дезертирство про це суспільному повідомила речниця офісу генпрокурора максимець за її словами прокуратура дослідила дані які зявились в медіа про можливе ухилення гнезділова від служби наразі перевіряють виконання військовим своїх обовязків та наказів командирів напередодні гнезділов написав у facebook що самовільно залишив частину щоб привернути увагу до потреби встановити терміни служби для мобілізованих,правда,ukr,телеграм,https://t.me/suspilnenews/38915,facebook,facebook
нардепа дмитрука затримали у лондоні за його словами вже відбулось судове засідання бо українська влада вимагає його екстрадиції в україну про це він повідомив у своєму telegramканалі суспільне звернулось до офісу генерального прокурора за коментарем напередодні дмитруку оголосили про підозру через напад на правоохоронця та військового згодом він незаконно перетнув кордон з молдовою та втік з україни перед цим нардеп заявляв нібито за кордоном хтось стежив за його родиною але хто саме та в якій країні не уточнив згодом він заявив що є жертвою політичних утисків з боку уряду україни через його підтримку церкви упц мп,правда,ukr,телеграм,https://t.me/suspilnenews/38911,telegram,telegram
один з військових 72 бригади нам у коментарі сказав що вугледар перебуває під контролем сил оборони водночас російські війська намагаються обійти місто командир мотопіхотної залізної роти 72 омбр на псевдо оскар підтвердив суспільному що штурми російських військ відбуваються постійно за його словами щойно росіяни знаходять можливість просунутись починають стягувати ударні підрозділи намагаються обїхати позиції та викинути десант за даними проєкту deepstate ситуація навколо міста критична та продовжує ускладнюватися армія рф намагається оточити вугледар руйнуючи його бої за місто точаться по обох флангах сказав в етері суспільного аналітик сайту deep state микула,правда,ukr,телеграм,https://t.me/suspilnenews/38907,deepstate deep state,deepstate deep state
sky news розкрили у грузії схему експорту до росії дорогих західних автомобілів попри санкції великої британії та єс спершу авто реєструють та розмитнюють у вірменії потім на них ставлять транзитні номери оскільки грузини можуть їздити в росію без віз вони перевозять і залишають машину на іншому боці де її забирає інша група чоловіків а потім автостопом повертаються назад до грузії,правда,ukr,телеграм,https://t.me/suspilnenews/38875,sky news,sky news
компанію intel хоче купити qualcomm акції в моменті зростали на 8 угода може стати одним із найбільших поглинань в історії технологічних компаній,правда,ukr,Telegram,https://t.me/biznich/5469,intel qualcomm,intel qualcomm
авіакомпанія нової пошти здійснила перший політ на власному літаку boeing він летів під прапором україни а постійну комерційну експлуатацію почнуть взимку 20242025 року,правда,ukr,Telegram,https://t.me/biznich/5467,boeing,boeing
баффет продав акції bank of america на 900 млн,правда,ukr,Telegram,https://t.me/biznich/5465,bank of america,bank america
інформація про торгівлю україною західною зброєю виявилась фейком розслідування bbc,фейк,ukr,Google,https://www.bbc.com/ukrainian/features-63019186,bbc,bbc
як кремль маніпулює та поширює фейки у twitter,фейк,ukr,Google,https://www.bbc.com/ukrainian/features-60805021,twitter,twitter
браслети й намиста що захищають від 5g виявились радіоактивними,фейк,ukr,Google,https://bbc.com/ukrainian/news-59709110,g,g
у харкові намалювали величезне дай яке видно навіть із супутників у спробі присоромити західного пана і знову зажадати зброї у харкові вирішили влаштувати перфоманс і намалювати на стоянці зрк patriot із написом бог рятує наші душі патріот рятує наші життя внесок у сюрреалізм цього жаху робить той факт що це на стоянці тц епіцентр мережа яких використовується зсу для зберігання бк та зброї,фейк,ukr,Сайт,https://gwaramedia.com/manipuliatsiia-u-kharkovi-namaliuvaly-velyke-day-shchob-prysoromyty-zakhidnykh-partneriv/,patriot,patriot
митники знайшли у 19річного водія 168 смартфонів сьогодні вночі на пункт пропуску краківець корчова прибув автомобіль renault master під час огляду авто працівники митниці виявили за обшивкою салону 168 смартфонів xiaomi вартість яких складає близько 2 млн грн за фактом склали адмінпротокл а транспортний засіб тимчасово вилучено,правда,ukr,Телеграм ,https://t.me/c/1837971485/7537,renault master xiaomi,renault master xiaomi
у львові очікується прохолодний день з переважно хмарною погодою та періодичними невеликими дощами температура повітря протягом дня коливатиметься від 14c до 23c,правда,ukr,Телеграм ,https://t.me/c/1837971485/7533,c c,c c
адміністрація байдена працює над планом продовження повноважень на відправку в україну американського озброєння і техніки на суму 59 мільярда доларів до того як закінчиться фінансування наприкінці місяця politico,правда,ukr,Телеграм ,https://t.me/smolii_ukraine/76878,politico,politico
як кремль роками роздмухував конфлікт зеленського із залужним the washington post,фейк,ukr,Сайт,https://www.bbc.com/ukrainian/articles/c8vnnq1d0lyo,the washington post,washington post
zelensky to present victory plan to biden harris and trump,правда,eng,google,https://www.bbc.com/news/articles/c5y30244467o,zelensky to present victory plan to biden harris and trump,zelensky present victory plan biden harris trump
six dead after record rain causes floods in japan,правда,eng,google,https://www.bbc.com/news/articles/c1jdpzj3gjlo,six dead after record rain causes floods in japan,six dead record rain causes floods japan
the riddles humans can solve but computers cant,правда,eng,google,https://www.bbc.com/future/article/20240912-what-riddles-teach-us-about-the-human-mind,the riddles humans can solve but computers cant,riddles humans solve computers cant
please save me the indians duped into fighting for russia,правда,eng,google,https://www.bbc.com/news/articles/cly6ve2x72xo,please save me the indians duped into fighting for russia,please save indians duped fighting russia
us to ban chinese tech in cars,правда,eng,google,https://www.bbc.com/news/articles/cwyegl8q80do,us to ban chinese tech in cars,us ban chinese tech cars
bowen israel believes it has weakened hezbollah but escalation still carries risks,правда,eng,google,https://www.bbc.com/news/articles/c2kdg7jwvz7o,bowen israel believes it has weakened hezbollah but escalation still carries risks,bowen israel believes weakened hezbollah escalation still carries risks
boss of titan sub firm said noone is dying under my watch,правда,eng,google,https://www.bbc.com/news/articles/c7819kx4498o,boss of titan sub firm said noone is dying under my watch,boss titan sub firm said noone dying watch
sandi toksvig officiates wedding of abbas bjrn ulvaeus,правда,eng,google,https://www.bbc.com/news/articles/clylrrdjg78o,sandi toksvig officiates wedding of abbas bjrn ulvaeus,sandi toksvig officiates wedding abbas bjrn ulvaeus
israeli air strikes kill 274 lebanon says as thousands flee south of country,фейк,eng,google,https://www.bbc.com/news/live/c5y32qew9z2t,israeli air strikes kill lebanon says as thousands flee south of country,israeli air strikes kill lebanon says thousands flee south country
trans woman killed in georgia day after antilgbt law passed,фейк,eng,google,https://www.bbc.com/news/articles/cy0lnpn019xo,trans woman killed in georgia day after antilgbt law passed,trans woman killed georgia day antilgbt law passed
modi meets top us tech leaders amid semiconductor push,фейк,eng,google,https://www.bbc.com/news/articles/cpqz2y9jd1ro,modi meets top us tech leaders amid semiconductor push,modi meets top us tech leaders amid semiconductor push
the english wine thats rivalling champagne,фейк,eng,google,https://www.bbc.com/travel/article/20240918-the-english-wine-thats-rivalling-champagne,the english wine thats rivalling champagne,english wine thats rivalling champagne
вбив дівчину і залив бетоном на балконі історія яку розкрили через 16 років випадково у південній кореї чоловік зізнався що вбив свою подругу а її тіло залив цементом на балконі власної квартири злочин стався понад 16 років тому у місті кодже чоловік якому зараз за 50 розповів місцевій поліції що вдарив подругу тупим предметом під час сварки потім він поклав її тіло у валізу яку заховав під шаром цегли й цементу за словами поліцейських чоловік продовжував жити у цій квартирі ще вісім років поки 2016 року його не заарештували за звинуваченням у зберіганні наркотиків відтоді у квартирі ніхто не мешкав її використовували як складське приміщення за словами влади родина загиблої жінки якій на момент убивства було близько 30 заявила про її зникнення тільки за три роки після загибелі вони втратили звязок із донькою а коли приїхали шукати її в коджі їм пояснили що жінка поїхала з міста відтоді вона вважалася зниклою безвісти увесь цей час тіло лишалося непоміченим доки минулого місяця його не знайшов ремонтник під час перфораційних робіт повідомляють місцеві змі тіло що частково збереглося завдяки валізі ідентифіковане як тіло зниклої жінки розтин показав що вона померла від удару тупим предметом по голові чоловік якого поліція називає паном а не жив у квартирі коли виявили тіло але його швидко знайшли й заарештували поліція стверджує що продовжує розслідування і як очікують висуне чоловіку обвинувачення у вбивстві getty фото ілюстративні geoje police station,правда,ukr,FACEBOOK,https://www.facebook.com/share/p/qAsZJRHMJzD31mh3/?mibextid=WC7FNe,getty geoje police station,getty geoje police station
